Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--delarc_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH6_1,-0.0632811999252147,0.052172939075238026,-0.005683504165676623,-0.10936528053539603,-0.011189332870037661,-0.033555590207081126,-0.028874296604696183,-0.018059818147398213,0.03068887404287638,0.05148312663659454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.0770261923329014,0.0497769208981291,-0.006932221129941552,-0.10159764935222007,-0.01018356487802837,-0.021073553988143152,-0.018345835214966664,-0.007321979660216881,0.017015970201919913,0.040024022561214526,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.08635944156138148,0.0692881675335862,-0.013924437451945701,-0.05335683071054519,-0.012510542095355367,-0.03872696881384954,-0.032569496108866905,-0.006637295567956958,0.027620475547307212,0.011512294940893411,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.08982862571132896,0.07875487815183789,-0.009939347842060353,-0.07085657699802972,-0.014966811667317928,-0.02681165538363806,-0.03397002282916852,-0.007741422748355117,0.021786241171800568,0.017909269600539755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.07029133272438269,0.05496527956069812,-0.00546111087881676,-0.06495109669702209,-0.014984158018360963,-0.029041525390728015,-0.02448973286613498,-0.009247236890799329,0.010866970157088793,0.016969870794969404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.09898651463910939,0.09746841927990317,-0.011928177239049388,-0.10234208744586162,-0.006734852661257205,-0.03884450795695834,-0.03097242401183947,-0.006145151990020407,0.03483055461441045,0.027990659368426905,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.05900211909664391,0.06529893855645282,-0.007021438073690817,-0.10090821476734205,-0.007813403778102086,-0.02416149414468395,-0.02672942344261252,-0.0064620896793254065,0.024477279396808663,0.006657882295953839,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.06328003861576968,0.06333104524316024,-0.011020594508103701,-0.07729031160473823,-0.006945829524294189,-0.030612630787427007,-0.035831095309037234,-0.00785978976475156,0.026959861683375805,0.006885300379894346,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.05911207581829767,0.05207520308620903,-0.009971013351384062,-0.09666676334510357,-0.006819690789865412,-0.023478695028663978,-0.02633706664140134,-0.0067864875353710824,0.026791428122669457,0.01464107883365258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.0701455129687067,0.04721040441695114,-0.01870414380186602,-0.06158339273629952,-0.007264010705377744,-0.022948839236455763,-0.020256638891347076,-0.002174418378297403,0.02679266142456428,-0.006590180421329063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.06704203052284279,0.0744629241032121,-0.015642893421666134,-0.09663805280042732,-0.007278232937273772,-0.0243354450903185,-0.019772530455628167,-0.00484361298625236,0.025303887586797705,0.00012190401473122949,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.0493244977388531,0.043865203352887995,-0.0048372550539510385,-0.08183545165411803,0.01782814505591017,0.004404201640383057,-0.026410298674650813,-0.0033456271174161357,0.021486303796991707,-0.05749480632741166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.042701140288263564,0.04497954904547205,-0.011323389230377002,-0.09039262126645316,0.023191121617413088,0.005368577970758727,-0.02427048299866526,-0.01024161232149472,0.01854363101089131,-0.0488177157736019,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.05291479640032936,0.03803978606329664,-0.00686265927132057,-0.07722434490352223,0.010656936152878662,0.0031092967416929155,-0.013048642064323242,-0.0058660042180639265,0.02987285338909082,-0.061426507714002036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.04369449821057852,0.03828626798789786,-0.004459703809217267,-0.08187356110338283,0.013193966157977353,0.005745135846993195,-0.011873964273735235,-0.007755230617426016,0.01790109607431552,-0.06113359052040006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.05019530962221325,0.04493086002443147,-0.01486610354167288,-0.09279646426034363,0.020600272335274058,0.004742998438684838,-0.023757546665551868,-0.008287550930095757,0.026105199136325846,-0.04214043766746054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.05550479957428964,0.03425422374321067,-0.007697067179757614,-0.09585197405727663,0.029333430723813572,0.005552572096171585,-0.02421468842045768,-0.005952846404650941,0.031169115632124572,-0.04675204971319308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.07562154397854338,0.04853892142034094,-0.008617974141531667,-0.15103270357555668,0.027023428479290533,0.004757380190750826,-0.019587492587287793,-0.013955793415560674,0.029181854198484316,0.023649840300659763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.09616360265761614,0.06573671644675018,-0.013070177360559284,-0.1615700728126356,0.03359296794170919,0.005847684144973753,-0.03196115214620595,-0.019391989001761315,0.03607671741477173,0.04523882584484374,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.0729936646386657,0.051036751213604986,0.0028737278784746714,-0.15886044964680204,0.023799463611744023,0.005190615812721459,-0.022747452035546303,-0.02308300746280862,0.03058933776276915,0.028530595309060557,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.12496535877494706,0.07739159466131873,-0.021952038418663583,-0.20112692103356777,0.05446413912769893,0.010571745306901309,-0.04203580528619173,0.0030817288816299103,0.04884001958345913,0.06006681373099918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
