Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--delarc_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH7_0,-0.020654001564759272,-0.037968922229888645,-0.07613618800497575,-0.014458734253826348,0.001815134688563969,0.007338673002693965,-0.0013440810953793327,0.031359464380404226,0.004685185551643371,0.02698688182169976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.01661751606218193,-0.033238795040094325,-0.08063616101346584,-0.019598362499281114,0.0017870910076991367,0.0039690457478813515,-0.004311958240426103,0.03496854378315417,0.007216713629339052,0.028084810750316026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.016645184847647727,-0.03313242554178704,-0.07465047915020714,-0.012792558349345048,0.0017735674459001293,-0.00016061516559642258,-0.007824745048647344,0.03676362598395866,0.004441772903437202,0.023850452938805455,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.013292308590658336,-0.02056498697756425,-0.08583401717893455,-0.022163335499556177,0.0014689308016196535,-0.0020560796348297076,-0.007001069019670072,0.026490581869755104,0.010803262722557007,0.03377243481738412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.013621706737448343,-0.03264140094589928,-0.07876253907933183,-0.025478565890503974,0.0012600101336188937,0.0036998871730073665,-0.0024147402009238373,0.027920136521367923,0.008311091463850893,0.03335124087236498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.01865154893501945,-0.027264517348097716,-0.0739699064211353,-0.02087458183422037,0.0013999270615370392,0.002783689945936203,-0.004820512068336425,0.02691178512476061,0.006383260106262954,0.029725817636303272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.012509249307863088,-0.025679050257996376,-0.07027083070057888,-0.025702236077707753,0.004007747905409854,0.002159716686152893,-0.005241429002388664,0.027941904963682526,0.008749256294382654,0.0181675831341873,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.015329199864164646,-0.03373278950381538,-0.06776586019474527,-0.02021254800745975,0.0039087048885614985,0.002811641795155797,-0.0033024707258395535,0.03088561893481275,0.007234840613344442,0.01712547346301701,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.008957105303264183,-0.03377430523381285,-0.07270095492510693,-0.0177046069211286,0.0030798937315526216,0.0014930817079932806,-0.006624745057652824,0.02660519148020641,0.005927041866209198,0.024279921965106668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.009863603579933228,-0.027157438697050437,-0.032422744471417825,-0.009918555374378744,-0.000280597637528959,-0.0013654843296693705,-0.0020811694552717,0.02363988025680832,0.0030224429702629223,-0.021949316394393854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.011066296325753565,-0.028002763720958126,-0.037090070158567114,-0.012935569341415945,0.0021399572426858164,-0.0012137638485949967,-0.0012643980979919437,0.028999672881934956,0.006037812548811022,-0.023981167536390863,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.012461745923627976,-0.02426797641360242,-0.021619728110406706,-0.012133402476168198,-0.0013972539244138673,-0.0013654843296693705,-0.002160313620191554,0.023692162631322504,0.004160919791978339,-0.03082376397822214,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.00752924588387427,-0.0241444447507029,-0.043332910414623164,-0.01927595650210329,-0.00012773283311854196,-0.001162096064375794,0.00012078120332697217,0.03135179348289966,0.007115097562580006,-0.0213918721627282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.008410323505168377,-0.025964102941038812,-0.033979750249696815,-0.009416089739812455,0.0030210018789638645,-0.00113790360805781,0.00103081896091285,0.020428902124581125,0.0033133559528252376,-0.027262495537490942,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.008628914864814798,-0.02630623724149621,-0.027950970088334182,-0.014656386574649294,0.0010756700000037324,-0.001467803687505099,-0.00013464895927387717,0.018454251950201783,0.002308495099777762,-0.021070042317328244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.0032257955310785254,-0.0394553467064448,-0.04321430875879267,-0.015231146763848225,-0.0015434766755155892,-0.0028145345948312607,0.0018502669992006343,0.026707121454503224,0.005683978985509147,-0.007133345173104949,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.0036202563021493993,-0.037702878877196616,-0.05828437874498575,-0.013490923858531146,-0.00032939143964777907,-0.00234400597927363,-0.00021411519821571293,0.026124075171740157,0.007892805710434913,0.003592482137939204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.009488269858386203,-0.032766618688145406,-0.062309770431855475,-0.010653994985572672,-0.0007141473371049631,-0.0022636228929395243,-0.0022483537832032083,0.02956034932123578,0.010796710732190505,0.0017111304207988417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.006792099769024744,-0.037238232890224966,-0.07638705230439485,-0.016441907294742434,-0.0020219397723026896,-0.001971750813333884,-0.003951225745613161,0.033791225112002825,0.00507625347894171,0.02756014367808466,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.000866887438232483,-0.04591200694603764,-0.07322134309326826,-0.02804903193336467,0.003116347211534561,-0.0024000565416139106,-0.00023644637316465504,0.03682278439726518,0.004940493233177974,0.027429561085351134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
