Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--delarc_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH5_2,-0.026273552960027816,0.001625640593145205,0.005593085071962813,-0.030196899849435556,-0.00032764912947364557,-0.0063804842709847135,-0.0008700420253950624,-0.06668592088734325,0.023734133000607078,-0.02387081860200219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.047352985478937626,0.018821415390981283,-0.0006723844907853914,-0.03361615518674903,0.00011032761439032964,-0.00704548583406469,-0.006303269582922044,-0.08447136931769225,0.023898591204829834,0.01297880712410678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.052417328339879915,0.01747595983192973,-0.00045023690585208975,-0.03436312797762777,0.0003456483068673514,-0.011067698076367382,-0.005533755522059357,-0.07814587245978741,0.01682248735557432,0.023681410264385784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.04883488584633754,0.014166668724754588,-0.0023890666015770117,-0.029518716000020512,0.0004891068002452016,-0.013793910983140053,-0.011328426591404109,-0.08392975256008946,0.014707239338237305,0.03677923079256131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.08187578418170628,0.036290504180866746,-0.005075637259237145,-0.03420406717321147,-0.0007927018209643996,-0.021301867534285004,-0.013901262582968114,-0.08542506346560046,0.04311920124227586,0.0395141711976865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.0614840291035564,0.03067037262022495,-0.005894850547546926,-0.04059320441406708,-0.0006865887149520571,-0.01595914070858904,-0.016825777152958125,-0.09866011539231179,0.03489928930511941,0.05088153698684082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.053071923607393455,0.029794496152064077,-0.0006656575413501773,-0.03803929068796013,-0.0008397756970447058,-0.013554529074741448,-0.01125934269927118,-0.0797449349692982,0.02526079963730729,0.018467650928575063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.05903471034830031,0.027084640040993698,-0.0014279195358571802,-0.039483401804514554,-0.00021315215722374177,-0.017323316405324835,-0.015554381404881894,-0.07747391058698948,0.030133978295261453,0.029639661359074317,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.0609140341631744,0.02687709969994815,-0.002166616003150526,-0.0326405468955636,-0.00041090073792830864,-0.01486969598933407,-0.011782666242317011,-0.07272545214742421,0.024595354887778347,0.020384944816646374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.06390484634300939,0.02490542807170879,-0.0004191374859732123,-0.03741278234059397,-0.0003595381456872699,-0.01725426602622737,-0.011027819792861524,-0.06720959750530511,0.02458582656377036,0.0244442199834663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
