Experiments,delarc_OD<--AC_OD,delarc_OD<--BA_OD,delarc_OD<--BC_OD,delarc_OD<--BL_OD,delarc_OD<--BT_OD,delarc_OD<--BV_OD,delarc_OD<--CC_OD,delarc_OD<--DF_OD,delarc_OD<--delarc_OD,delarc_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11delarcaTc_2,-0.04520423518331802,0.16609667022995975,-0.030664440703618807,0.052892901609935185,0.002516678224277231,-0.028087017954043718,-0.07083962285972158,-0.047756035942584284,0.6023519815042938,0.24301258258440567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,-0.04007530590924232,0.151160448372526,-0.02594459501459548,0.04233783046431517,-0.0038475104008355997,-0.03452393767869343,-0.06287426580715437,-0.042156058303687884,0.6134626621461433,0.24678019364081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,-0.024967567956318014,0.1576551293225392,-0.02179396815031119,0.05041177877184489,-0.004647746506430532,-0.041300070063089535,-0.07234763804094299,-0.049516970635108334,0.6003387749413757,0.25048773982602623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.005856474278413728,-0.03463815330244276,0.001554726064205175,0.0002931652444860242,0.0018197665055808795,-0.002544406647591489,0.015666388678971844,0.011520390358308083,0.2147236153969298,-0.24439720436930645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.0008650635174759101,-0.033436795687707875,0.0016909629649118237,-0.0023278601127474205,0.00027230418975586083,-0.0002974581993792352,0.011474467182289004,0.011896101927951626,0.21443468677851818,-0.24485377379490633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.00012111684388440807,-0.034004606165639724,0.0010795368877765945,-6.960051620136288e-05,0.001476412245436855,-0.0021154706252981778,0.009025032457126221,0.01024525983016128,0.21328909327964424,-0.24070436010137197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,0.0023896154340194643,-0.03746822390138456,-0.0022234123929039287,0.0017087647731861316,0.00020199294242522031,-0.004118078454681064,0.01633790877364252,0.013104824341995568,0.23928147502081548,-0.1950339579096306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,0.00030937676763405115,-0.04185706798311161,6.843148042326155e-05,0.008319848217070101,-0.002085776806039652,-0.013745281189356164,0.017710449021795523,0.019229198872395187,0.24976523162635123,-0.18156500305251586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,0.0026403393734084567,-0.04643340830650667,-0.0014227427639391097,0.005343096758360444,-0.0007125254023982121,-0.007124883747133226,0.017866215482354158,0.022458543414654947,0.24322208059060832,-0.1889870784423597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,0.002377009883361024,-0.06759480730751936,-0.008263937817157613,0.004939391874586757,-0.0002173032635903866,-0.0144270558549982,0.020478035354095956,0.02955705801348971,0.36808816164570013,-0.016791189271632746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
