Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc-_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH5_1,-0.017813460859267608,-0.014767041068888553,0.0015985523235133795,-0.01894671359443632,-0.05693486729960729,-0.0034533471705230035,-0.0038035025696634586,0.03308984583000774,-0.02327237993154837,-0.030974158492627673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.0201262519026742,-0.011973545518096372,0.004761024917799818,-0.018046950569943234,-0.060076952491401,-0.0067364951453941,-0.0038721103709110096,0.027544131436506695,-0.014992273826880946,-0.03175764816145048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.034557720080989854,-0.012578309688960083,0.0034652795776238914,-0.029474352273442174,-0.10645991628949084,-0.0005906880335153443,-0.004469305545334583,0.041546538310611385,-0.024385686473030115,0.03222708814655958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.03508236526126933,-0.003494199824155024,-0.0003015992162830162,-0.02874853090140159,-0.10911748729889163,-0.005966028727226605,-0.004045870387926697,0.045221273130534784,-0.02596279556822518,0.03222053173362561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.033746919245256676,-0.013398293306565156,0.0024731204480580664,-0.031457870024175424,-0.10960237347905565,-0.0036154924531507752,-0.005897050604791094,0.04863763358322498,-0.027577665776378765,0.038907839598579574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.03516986258044514,-0.01759938549068149,-0.0011408369980104576,-0.028457966904641814,-0.10590949636033696,-0.012741763297387439,-0.0053513622609898445,0.05481021486789637,-0.0382724641131885,0.054555851505340446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,-0.04533158060203751,-0.009109451220492306,0.003919703545777692,-0.03249789927033302,-0.09011272421025708,-0.004609151148115811,-0.005838932867728821,0.043729881330433755,-0.04191882030916926,0.046491903064408056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.04990858869991549,-0.01600495390958436,0.0035433411092051985,-0.02710436133566596,-0.08255313947310915,-0.002388362294548879,-0.009523101702899385,0.03991585680182375,-0.037754312951887116,0.046500551020524104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
parc-_pH8_0,-0.04727237888935791,-0.008073008864834582,-0.009004094873190574,-0.03361075738181724,-0.0706590633491135,-0.009923186752459276,-0.01392929658678401,0.055925567173196564,-0.041446775239284916,0.042715921156796746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,-0.04222199622703634,-0.0027098822091584616,0.002909891057111647,-0.032874670565614224,-0.09321627347487145,-0.003650664431042968,-0.004389819370218266,0.05003040060745148,-0.04144026889870672,0.03228621187964051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,-0.05481658967373811,-0.006213053779514588,-0.00012305185664445277,-0.03727846352262017,-0.08552104079528998,-0.008688715126203452,-0.002128832523265609,0.053980389922735815,-0.03764626503355153,0.04315854903958414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,-0.05020708700641989,-0.00138362334150335,0.002532319056437067,-0.03078517740997284,-0.07054366133013822,-0.004548481911744758,-0.006508988271993785,0.028435540209807778,-0.025736754218764278,0.023468842591847415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,-0.04146498117251727,-0.005146989015376438,-0.0027988729387035836,-0.030991351825144627,-0.07311913366611723,0.0016261524443879096,-0.005965385006173794,0.0466068359905773,-0.040322926785472946,0.016299580342095835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,-0.04307018033734968,-0.005002375458083723,0.00014027891437644866,-0.027819799611587884,-0.0692408181010219,-0.010658649918825728,-0.0016740159591173982,0.03920430297598891,-0.032820686763557406,0.01566487280692419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,0.011254374239512761,-0.030111217942574743,0.0034168937146339716,-0.02453603685266622,-0.0886286930758101,0.0027399161571393833,0.004064137291001239,0.05270487287203254,0.018859272011474748,-0.08504058970340893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.01200466585548028,-0.02356006376688247,0.006487444392607911,-0.02692961426532787,-0.09356100233474181,0.0024781491591230683,0.0049361076944953106,0.04855614963858186,0.017024163638403558,-0.08271307202724172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.009753791007577728,-0.024945560017519665,0.003089558827771765,-0.023437637161746946,-0.0946077243546429,0.0005060870730844521,0.0009861361763804511,0.04296817275614518,0.015035476014018058,-0.0646253723487177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.00975371035463784,-0.030449940825245634,0.002245685306134756,-0.0225325386825463,-0.07315323782922778,-0.00013080444855048502,0.007619125502305511,0.034568804255079306,0.01000614337015735,-0.07320401892349448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.012444188085830083,-0.0214535871690706,0.007878812391148965,-0.02607370497820818,-0.08217561084939085,-0.0028430027628074503,0.003789826189977644,0.03804188583592844,0.007402258551396105,-0.07228813664866206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.010730528226122265,-0.030868245832338607,0.0075214497354286515,-0.024436376177219915,-0.08658196009999224,-0.008936311101905353,0.002632424581552981,0.05153486688094943,0.020435294894420586,-0.07730874234952195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.012063859811295638,-0.038488469379751575,0.008763848721535633,-0.031248086888505062,-0.14756944309596132,0.0009279515622588584,0.00015889306026308972,0.054493771287329164,0.019116005646064877,-0.013495402025342312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.01428363438047793,-0.031187698630332626,0.006792018368597265,-0.023906374560142666,-0.1928905312336334,-0.0010735664686755,0.009728100417262835,0.06115854712182898,0.019631707498641765,0.0021870923813675437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.014487989469957744,-0.042788408841411385,0.009087587098145613,-0.026669624711427354,-0.1698082403401318,-0.0034076821581339035,0.0029446478277120936,0.06793666495172226,0.020139641500604547,-0.007199645311490672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.021875329001847178,-0.03303125040666403,0.0054386413554944404,-0.03862561106276901,-0.2530644903811829,-0.0016656133435342612,0.0025768741750684786,0.06735604005703784,0.024943245705622036,0.06891976288398323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.02017728612393789,-0.03478647012263537,0.010422716340981419,-0.04682110846913217,-0.26084694535937164,-0.007095069185142288,0.002646891267200854,0.07037586237344405,0.020053820475611998,0.09059594463071098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.02191900313912851,-0.036775190885705134,0.007803849155569205,-0.03129137264240695,-0.2506951728704101,-0.0029974247367404727,0.007499707405171961,0.07377682578668972,0.01614910928228789,0.05933359497935387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.02228368305196257,-0.03306488763257537,0.007551607251896156,-0.04792437277612802,-0.271531936968272,-0.009538830667734147,-0.0004985410197759463,0.08879246670287101,0.027943536034461276,0.08071020541651903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.029679382625643336,-0.025204823182531342,0.005003211198617585,-0.041878133151356293,-0.2800958549624066,-0.01068807085024436,-0.0036612623826722058,0.07562329875588741,0.031128598306651992,0.0848165829586999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.026992010117872913,-0.028373935905123205,0.008465187524485846,-0.05090224357281366,-0.27324894893124857,-0.009896588097528919,-0.003962782742860522,0.07778900666526802,0.026983078658256842,0.09087814571578864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.03136901999013904,-0.020532384592756307,0.0035968599559577253,-0.036730768073998075,-0.28741039439509425,-0.011842337822663073,-0.006701145327609518,0.08122921749625518,0.028237656639160023,0.08350720422160204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.03177353701878177,-0.02323512754301823,0.00813238076804935,-0.044354266841774403,-0.28088958153075977,-0.0146607337679471,0.0011932038823547553,0.08103076525801871,0.021839546569946987,0.08389320483329989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.028303190187510593,-0.02802339301950743,0.009596766105488591,-0.04206879034496683,-0.2655310500919333,-0.008910390402635802,0.0018207711147387436,0.07981403369658992,0.014189582367063216,0.07553220946382247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
