Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH9_0,0.037471117571644154,0.013346394102554768,0.012769364839035046,-0.02345373480641486,0.03403367734220608,-0.005684560745063683,-0.20935231923814057,0.037847238118031416,0.01331330826587003,0.024538600335768223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.03482169198439173,0.007971815064033173,0.01493511777138337,-0.014176536576326369,0.026319764067024076,-0.0023344589865503273,-0.25714655463168723,0.056190013159977514,0.010574807127957919,0.05767342744020583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.044332902144802656,0.007888250393165354,0.012468104188370965,-0.018591669527105174,0.0207145185985238,-0.00055909835672735,-0.21612293230774607,0.037727664215389,0.005815502178004901,0.04115584487429537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.020052811406026393,-0.004299149399461306,0.012946287349433353,-0.0075471686660919515,0.01567741462636901,-0.0016243419419650145,-0.04536156475311146,0.01800877119667585,0.0040540029306936525,-0.03697235659999854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.013620283562467316,-0.003777743452026146,0.011957643013346292,-0.00761323483468479,0.015845357413484674,-0.0009071259360517493,-0.05678003913439485,0.012163338552775751,0.006803623493659593,-0.029242452255996837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.018175962050242914,-0.0039928686124799054,0.010962052602098203,-0.010988079041202107,0.015101987907420034,-0.003876487721547323,-0.042871725950592576,0.015358929520614606,0.0071958051775784584,-0.033884568582592624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.021051899638715323,-0.0023553478130665818,0.011691587403538109,-0.01288513160806716,0.014186336548351077,0.0005856165667469425,-0.06059570133129299,0.018536857473765215,0.006503386883793964,-0.01978661818450074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.015842620405550723,-0.0020290365458830546,0.01637945514202685,-0.007888716417567238,0.009360821978087821,0.0005712570065794424,-0.06089114337268731,0.018257843892839132,0.003175574886389885,-0.02626435282771759,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.02108883805481879,-0.0011350964414684678,0.014923328518381584,-0.009638982271451666,0.015546900080314476,-0.0027293391829437542,-0.06579002861480186,0.02115734155998444,0.008804337439309478,-0.0252205396959882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.024843677863195204,-0.0017312455092273345,0.024427254747538624,-0.02203245222112974,0.017987547731431925,-0.0019140252808068437,-0.11909853295524325,0.026554167139667854,0.0056991458512113775,0.029780901696269763,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
