Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc-_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH5_1,-0.009317434255195699,-0.027707965843703438,-0.05025331371828266,0.00596017934543931,5.201663012090004e-05,-0.0008130752975526054,0.0006426996915884637,0.02490336845750394,0.00023871380511833337,-0.04205550105837375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.004814107207500418,-0.03527183501454798,-0.053557336873010446,0.006038684294275615,-0.0014640443108004072,-0.0014380923124111204,-0.0010484025481602426,0.02652652130502722,0.0012526428310767471,-0.0345743422485564,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.004275811492748879,-0.040220976138244505,-0.08332671547551518,0.008095441379624866,-0.0013157880694969841,0.004964823419957058,0.0024905407558316757,0.025542221547144917,-0.0029973153105896425,-0.007306732791273489,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.010514080090367276,-0.043312260492340375,-0.097263751057503,0.009424499885543535,-0.0019053042275102247,0.00635495487600565,-0.0016723018657902016,0.02746004920290864,0.0037435601846031526,0.009334321412379328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BL_pH6_2,0.004381383783791377,-0.042993316036527576,-0.10549973638161368,0.009023246308383736,0.0002953122021711384,0.009472750174286573,-0.00275676472193521,0.024834924181518357,0.004061593426310499,0.0008302948623895651,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,8.020966435255954e-05,-0.0513291687907084,-0.11388080644056849,0.011408166684534241,-0.0020483978141261168,-0.0011341879840778258,-0.01288419985252878,0.04408642438766748,0.00028182600017475316,0.027069822031518687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,0.005518317805684132,-0.05642441441831381,-0.13072019688947045,0.010123127138485078,9.70042448328898e-05,0.0044161107763648014,-0.002589308747454828,0.03603990625266149,0.0005337470462140852,0.03465539467723474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.00663920225980489,-0.041653881843971174,-0.12028539385484613,0.010895337475382764,0.0029341184752790807,0.0005747742594584171,0.00033886852471724896,0.02878044199198484,-0.0021701928244336802,0.02887481778050247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.014901145748470141,-0.03116589294179626,-0.13561075111284202,0.011306207474807034,0.00015041326537080585,0.0029088296854625586,-0.0021789959639958727,0.03190038011773772,0.004510348782591199,0.03473029433709124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.011746437364946244,-0.041138377798640206,-0.12850564172086507,0.010494002589712975,-0.0056569252373731655,-5.868498235940967e-05,-0.002803846979918686,0.04429211965235679,-0.0010991419317281767,0.037872621630844865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.011454953641995143,-0.033953649655956285,-0.12610471717851315,0.010220757913978206,-0.0037405985577598855,-6.935237380473403e-05,-0.008434604678464973,0.038353564719791,-0.00020665182853522656,0.03703989306059869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.018949048191956853,-0.04157404221918271,-0.1170856762726022,0.014948967008487038,-0.0003337601491290593,-0.0027139544632771746,-0.003977552409405295,0.04461831790435573,-0.003324915494607841,0.030041351383147032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.013630065987615484,-0.040868169984415816,-0.12531694440090138,0.013675616623266884,0.0035147936609776125,-0.0052060346094810455,-0.0026832893523185135,0.03400321293946194,0.00201310966325843,0.03614745917527573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.011944423636988456,-0.04470299827987733,-0.11275014525522355,0.011936227896291283,-0.001444708095944446,0.0025031586752637565,-0.0034930304535057237,0.03416186726287655,-0.003047955462142175,0.03043169530675463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.010143282431299274,-0.025027720129684253,-0.036630228683352466,-0.010449356778484324,0.0007992021933845862,-0.0021914836472791167,0.0006983537842398099,0.020573015566105423,0.0002693186246830497,-0.03624813202444625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.008527197061997394,-0.023535365841310957,-0.04763539908372839,-0.012886456251144407,0.0009324025589486839,0.0017812237240698039,-0.0023499242167757907,0.025418104015938615,-0.000673398215161717,-0.030874302882863126,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.008915876198721969,-0.022723135867196577,-0.03669532645493745,-0.012347674648398938,0.0009324025589486836,-0.0017416249798691784,0.0009990051583103514,0.018571953603430936,-0.000779581466770689,-0.03565045433037955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.014362079993538236,-0.019196096940532974,-0.04996984553401885,-0.017175641979860223,0.0009990027417307319,-9.77262725000806e-05,-0.001841595723577167,0.023089360003562077,0.0007968767052111444,-0.0205925656353002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.012086756047995193,-0.021866993944606058,-0.04066532888166283,-0.015183163217228391,0.0008658023761666345,-0.002703227020152236,-0.0024075520929435026,0.02185655406149833,0.0030691895828298906,-0.02922883838739085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.013716015524190401,-0.024962223157610576,-0.039752442545217016,-0.010391726307570934,0.0012654034728589276,-0.0023028316964273867,-0.0019149087304654326,0.018001267927820266,0.0009949505523495054,-0.025571787874011886,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.01417178333129572,-0.027729052099520746,-0.06128154314082601,-0.015920340355647652,0.00013966215207524937,0.005409016239902249,-0.002205582764809546,0.021069795047135454,0.0009379129192751403,-0.004598397991579512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
