Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc-_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH6_0,-0.07014287657104433,0.051008696697814326,-0.009760793098855924,-0.10041279987351079,-0.00906037204939386,-0.021891843446975822,-0.024546782133857838,0.005197135234737526,0.02356279691843235,0.02172646746646775,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.06822888788402728,0.06484813706180001,-0.014298675780629981,-0.11566152896327166,-0.010728173042121142,-0.026928785304822348,-0.030570133507413704,-0.007050453520015533,0.02897211870016611,0.04532599370683665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.054215286524318486,0.06447080819138691,-0.018080495570016935,-0.12728427726289498,-0.01018356487802837,-0.021022498907683342,-0.020611086656217987,-0.014854807871515337,0.032553267086167695,0.034907553402868954,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.07788732377528819,0.09266130917908057,-0.014732989771696537,-0.12333744946907721,-0.015906970517142963,-0.03123052360732918,-0.01935628228051507,-0.03168171164539198,0.03125919974044613,0.055892368427113356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.08374115198891123,0.06923613336463662,-0.008713140010671772,-0.07593677974832447,-0.013294612240532175,-0.03774098078679779,-0.02299333622922068,-0.010485706548408968,0.019330003359557493,0.03001919715098389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.09221380364635716,0.07119333972587534,-0.01042477957377939,-0.07048152937918252,-0.016661313545444742,-0.04261367463952173,-0.0289188432312854,0.0014215505576652035,0.027518820518870713,0.026859859723354817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.07630696507413749,0.0867699532939688,-0.0164725486472573,-0.11174561962444818,-0.0071674455572729515,-0.031371716409111794,-0.03824050090883089,0.004960036196381499,0.03318249182856601,0.02207192637512217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.08104900707328772,0.06870319903139835,-0.010940623897654206,-0.06538475129672365,-0.0073798338323831526,-0.036126312487151306,-0.02443064307065114,-0.003097398341835843,0.015674515524474172,0.009710466764543365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.07266187538190381,0.05258878103011976,-0.011542677297054426,-0.07529977954762135,-0.006945829543730488,-0.021413626316934827,-0.03965850881989236,0.0012185470792262453,0.023798971473360832,0.015595608897831128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.07960766726902323,0.06205703054676238,-0.016063256072609323,-0.07878572068622579,-0.007445442485420598,-0.03340660328936317,-0.023226928691501204,0.006496210156980412,0.03341034201095286,0.0022516474921418263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.0821757800127987,0.061689580908936004,-0.011816042612671208,-0.07973620359461915,-0.007264010705377743,-0.026641641362448745,-0.02465504439912088,-0.0019638566292174493,0.028896122951384468,0.009346504068488009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.0896830498184199,0.07530378766519868,-0.01111742981142648,-0.074460483301107,-0.007686206419830736,-0.024009146325128235,-0.033883956056898056,0.0023108575966857025,0.02503483280377544,0.003870405127172883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.0431536048197228,0.035125532107346744,-0.010356521243634427,-0.09526221789217187,0.01807770532960801,0.004726565794452379,-0.016545628534386986,-0.0028891826874536037,0.02237945600858201,-0.04642249270301798,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.05920781456419954,0.04674254722164376,-0.008160735250491163,-0.09562106247262463,0.023429251415250093,0.005691394799429437,-0.019186771754985267,-0.003212076566465523,0.02138050097648216,-0.04617562196176985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.05544708226038061,0.06313321808757989,-0.006018872153337882,-0.10886325315450844,0.025538637953931864,0.006659912470242252,-0.023938799742609262,-0.004696338027715685,0.021721144757517002,-0.05240895608521025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.05979306262391417,0.030765341625589394,-0.007642113328303979,-0.1010537528473398,0.02196698178901621,0.003404621154717778,-0.008669865901541451,-0.0011428262406717176,0.019628470692297683,-0.03178418260715578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.05407519687857965,0.07296348358706936,-0.011242261083553666,-0.11209480535805873,0.01766471668915904,0.005703928639059484,-0.02589765523357884,-0.0021894399781265993,0.029113951858295045,-0.054267110668284727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.058950234255550994,0.060447188457879025,-0.01185147579678375,-0.09131224660040892,0.031031815007976856,0.005552572089692823,-0.014142401019597182,-0.0027788129043967835,0.027026308504459653,-0.07934310173818275,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.09110410244892472,0.04966178083468391,-0.001023205764105785,-0.16518859927663984,0.03316705000870255,0.005121394288928612,-0.02065399676561356,-0.01702529872403197,0.03056588753571978,0.04215870180693659,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.10082814976087084,0.07093021101925685,-0.0076261901806878,-0.1653129486958294,0.0332559151356311,0.004025440543242122,-0.03270250618700748,-0.011991328520943293,0.0335339175666804,0.04239525196587911,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
