Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc-_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH4_0,0.027226567320201706,-0.04137357743456959,0.0006272522408677175,0.008936242518703575,-0.03829300528311211,0.008184162667426081,0.02563589588860456,-0.006674615180362828,-0.0017738800593044466,-0.34283782389824796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,0.02986058677101266,-0.04522895981031266,0.002405004614721172,0.011376213692938498,-0.03701837411231321,0.00841530601210568,0.026708852120715637,-0.01236237038169866,-0.0011159512311544088,-0.34176233461369643,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,0.023885535179110965,-0.04454622502479215,-0.011380244150109914,0.018777845599081206,-0.036222362430847206,0.012281922198346132,0.028878506260883546,-0.002684099968198854,-0.003383166151850118,-0.3432562744269228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,0.03404228665339557,-0.053761205273963844,-0.0013881261679141474,0.009373662211810766,-0.0359544632502872,0.011493517570197584,0.03189202100686406,-0.010367780888210169,-0.002589955059406553,-0.3114590472331189,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,0.03152320436890357,-0.04246369823327532,-0.0033894378376071845,0.013087771512244058,-0.04234903190608907,0.005922974346448546,0.034179261282248345,-0.015496004827968453,-0.0007951126280038271,-0.3233466960141516,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,0.03339117083779495,-0.06091631973000324,-0.0010316407186505582,0.009750921962701754,-0.0397164704002764,0.01167596993239029,0.03240979150909444,-0.0011185563971167006,-0.0016004141881737998,-0.3184744036764554,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,0.06561324528054051,-0.07155865579519584,-0.020458758168894312,0.019150452042889333,-0.021780241554521997,0.0176390401047209,0.029696792088772937,-0.01893070368663124,-0.006893434512388446,-0.1677545473886573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,0.06461254761432823,-0.07797401133600784,-0.023428697383598134,0.024985442811056323,-0.046769596648443025,0.007871640028998907,0.03342954742357782,-0.023239603642698215,-0.0030534408184821203,-0.15754645108690726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,0.05731762579763713,-0.06336007787805538,-0.016644864215960974,0.020891778718518172,-0.04736733636778334,0.011216700183956521,0.04058786386057085,-0.03456800797144357,-0.005445622761288416,-0.1525207040977219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,0.07096685481298227,-0.05173090381061902,-0.004199039170761475,0.04224020158952992,-0.12771809009268237,0.024617551286583356,0.06073891179879074,-0.02817976352637229,-0.007491659364946511,0.1268479166244683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
