Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc-_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH7_1,-0.04321958862407053,-0.019998855503356977,0.007414719643800154,-0.003165205171250779,0.0011089182596491728,0.0109940236709688,0.006851853044784587,0.0040237129074723816,-0.028972994874676933,0.008761535745276055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.04086647126499725,-0.01971671162902013,0.008855083490843359,-0.006775279503477657,0.000154225251272968,0.010649502238501673,0.011578015270440471,0.00824074331347061,-0.038917443766866046,0.010596456020746542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
parc-_pH8_0,-0.05291631906252839,-0.01425802269059679,0.006842505167359891,-0.005579144058992035,-0.003140207001048585,0.012421351901215058,0.008681521192193032,0.0034591497756216835,-0.0392943067735304,0.027581593528713862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,-0.05836359696219797,-0.015173089705083681,0.007195869211269462,-0.004212716965247757,-0.00043206587271845965,0.011330452750882377,0.007077863668294056,0.012938867637320705,-0.04141082241159418,0.0248473622471742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,-0.0735533963062841,-0.012691313004040201,0.007745758923499482,-0.005978121226248535,0.003157068152466546,0.009878346301291297,0.010186081999993844,0.011395342068179794,-0.0401913969963789,0.033849752402823896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,-0.05455572007952824,-0.01530790802253329,0.011009028058337127,-0.00400635952696852,-0.0017215238543956176,0.0105632049622743,0.006834904865726179,0.012227525738594326,-0.0475606027520869,0.02631557420867941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,-0.057631488031019314,-0.009567679046936658,0.009300428721243922,-0.006609596145217833,-2.792207281226864e-05,0.010909231399064478,0.005739485927574015,0.014049394446546615,-0.055966560312587274,0.03360282871224309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,-0.049525918298117484,-0.016192783044408198,0.009703555810062783,-0.011384786736706029,0.0033338981494307534,0.014849150582500125,0.00733204110485056,0.014271963544837809,-0.061016690935129715,0.032427688683180696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,0.13319840731504176,-0.03359104577289975,0.015716128187335057,-0.01995834516118401,0.007998915829736254,0.016527798182290533,0.01978133888348289,0.017629668187835946,0.015389809721837875,-0.22889455404294576,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.12931727371785953,-0.028724236222712893,0.013229963609381864,-0.02045235765045104,0.009534364572685704,0.015326712917050591,0.024035648139922514,0.021985560509821638,0.026419785651175875,-0.2468745920110655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
