Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc-_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH4_0,-0.04533495043768831,0.01660240318140258,-0.00043658203404882927,-0.02189309638641451,0.02088329053443411,-0.009212472936057528,-0.008210878681553447,-0.059170947985156715,0.02754036444684735,-0.039024584328998684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.03651027205197708,0.023711844624384592,-0.0004622633301693482,-0.02308069444544937,0.021539376366721544,-0.01619335959624985,-0.011005388738020606,-0.07356593582941137,0.030997651245283038,-0.03368841913731201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.04531764289121266,0.028334245396696996,-0.000436582034048828,-0.028780609074494114,0.014907856008604817,-0.015964255927373532,-0.0057899593723856856,-0.06140873269218466,0.024716536967974646,-0.028518317516731173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.028571894198008204,0.01515702124847018,-0.0007070277307344526,-0.027742354994558766,0.018955991684418663,-0.013992174808745803,-0.00590047925548709,-0.0650617817044258,0.016936328968276147,-0.02733109206771073,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.04121969980552145,0.009924825190202049,-0.0003895993725113255,-0.028933982981935797,0.021249497683475848,-0.018319601408489372,-0.009359136395480323,-0.03952244508849538,0.0313397533721898,-0.04302706485209258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.04111497978801313,0.027075454563550327,-0.00039340429979822035,-0.023923027170417104,0.017966687517321625,-0.013841183281139185,-0.003698765288876451,-0.06697101050420945,0.013850337006151679,-0.02720756243590428,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.05412446090708609,0.025686531327664852,-0.000816636979579927,-0.040541332485559196,0.021584292352199556,-0.011489935468720352,-0.007648089374213114,-0.09685243032710708,0.0339425251811095,0.012002081581107948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.05165811656933762,0.024153099186394522,0.0011924016346102156,-0.03859614796126667,0.02220027707355178,-0.02207068478445644,-0.018301843704412818,-0.0977320709694987,0.030918065270651943,0.031637567087360055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.056752470607019,0.02673083626381729,0.00031359377114669124,-0.029057370970106643,0.024363928161885432,-0.021513597921508813,-0.008330738811713196,-0.10171220192766706,0.028109052927921648,0.019591518146512304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.05530782832399659,0.046044516495388474,-0.0009081486839315188,-0.03924118764212598,0.024956998737609905,-0.026009301220917182,-0.020878149322841478,-0.11938601002906975,0.03197387157898883,0.04049777726278358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.07557839331905479,0.04575852849075327,-0.0007585278930871397,-0.03919841332927994,0.022145695085434812,-0.02594681381693353,-0.010411951446338837,-0.09200988025930912,0.022143592771304694,0.035598702445302326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.07637240035216447,0.03894090906109499,-0.0008148651084174278,-0.037508206487349836,0.025337937116298993,-0.02270444025326034,-0.013766945263613826,-0.12589887936802013,0.03563785229040229,0.058891585739734374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.0746719384047648,0.04462717188927143,0.0001643654963244565,-0.0431912843235161,0.02589550505189792,-0.01467386639798465,-0.021071645335658737,-0.09344172820772814,0.025265404915680058,0.03284056215668503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.0714076856912478,0.053620941370077765,-0.0003852194418077907,-0.05424420255195835,0.028406211869872133,-0.02289341693663079,-0.01802698051152022,-0.10290336656829586,0.03251745689012435,0.03705880927974764,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.0645700949900176,0.048785790444716155,-0.00030817555344623057,-0.03622253948579664,0.024946425171649973,-0.02343790145995824,-0.020724610192296298,-0.1027126086389889,0.02496443728066009,0.03102182517071133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.08469729132788335,0.04622565844298705,-0.0003852194418077903,-0.03456178702737975,0.029564276502832124,-0.01801182027906179,-0.02114365673583487,-0.09427585353831884,0.039619012717967445,0.01940922730642816,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,-0.08323557639899462,0.05702680910411087,-0.0004109007379283087,-0.041244400956708456,0.027870388147623645,-0.028760357559051205,-0.017375398778721043,-0.08712625228516434,0.027951162499578103,0.02704707305392494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
