Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH9_1,-0.12229724461617676,-0.18432985314856412,-0.0019477933612854607,-0.027152168920020692,0.048076030949697555,-0.02026971210604129,-0.009900575681063145,0.04303897529840469,0.05932623027135497,0.057432212262697846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BC_pH9_2,-0.0899291768329947,-0.18241470584969813,-0.003241098898908367,-0.02353138624973919,0.04906155294617232,-0.019715913419976184,-0.015613003956234968,0.04307794732891995,0.04262119038435429,0.04166069660254795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,-0.061327059006561414,-0.1087619282507702,0.008766200318122686,0.009123157939833143,0.02816051238823844,-0.012316484455343174,-0.0006167401502961708,0.016016451707514735,0.03229150865874861,-0.06935952249752439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,-0.06018950619856301,-0.09699826010462381,0.005493636174208441,0.008481172281114948,0.022825739078385674,-0.011834576570469399,-0.00435302798271827,0.020456575019204105,0.03511921719364498,-0.07702487188755817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.055935062579000765,-0.10215596239527933,0.0036474863958099613,0.007844817016435707,0.023158736531825163,-0.015493654892982347,-0.0018698582288039784,0.027099650848009017,0.03386607051543567,-0.07818612620882366,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,-0.06258552549811809,-0.1160907119374884,0.006922482060187536,0.008845434844817805,0.023137378762273685,-0.009270306187479394,-0.002883505553978941,0.024506279811587026,0.031045334774838843,-0.061650764057817685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BL_pH5_1,-0.060160966804655984,-0.10049307631085747,0.004889461975544693,0.009013141222784052,0.02314226556731307,-0.012834772913028364,-0.003202852743637305,0.01979742483114419,0.0380926619745467,-0.07626719009131191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.04591587564867476,-0.12600434146821501,0.006520726407027759,0.007286684385946265,0.025188865661621093,-0.008353883788475526,0.0005556114155637191,0.014317194616988944,0.03424526633127876,-0.06586415115338952,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.07997953643131515,-0.18219030989172016,0.008222152368853921,0.010164563988699861,0.02814434480245995,-0.014063000449829775,-0.006405009789311367,0.039531033819784296,0.03580433538588492,0.002747522619269463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.08563112745790376,-0.20115048588051093,0.006271952354227718,0.010549016343024763,0.037922722001600524,-0.018248759366409933,-0.008416901828478212,0.032490420245120055,0.04251471022872822,0.025674550732516722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
