Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc+_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH8_1,0.08022565766197183,-0.11311159324224873,0.020834914177818135,2.2457881790133545e-05,-0.011362765126092274,0.05630761525553205,0.08250674887438832,0.03198157254606486,-0.007817402333831007,0.45792907918762893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,0.07565698555144276,-0.10554213050185987,0.02770455946416959,0.009067133482869544,-0.008563656246532561,0.05302550925994697,0.08239849808666366,0.022896961239369032,-0.016476864234098915,0.4586430673900504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
parc+_pH9_0,0.08540695667428816,-0.10376713456343052,0.022740119272923992,0.009113073119812692,-0.009397695075882518,0.05340891477125492,0.0714257152726793,0.021886213221789713,-0.04753719765045071,0.5327667158971664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.003926186226973
parc+_pH9_1,0.0832193661464945,-0.10490887398143176,0.023606995290712172,0.005763188174561307,-0.005759744237622486,0.0526815343267568,0.07171339069452623,0.01954282200044912,-0.04411270828917623,0.5323830638574845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,0.07921866545048743,-0.0978270693163833,0.022874238565564163,0.007254884442233514,-0.009274279545668675,0.05040682766181619,0.07209707295117172,0.01965105800120078,-0.055256009046798164,0.5458076177181109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,-0.08701828454661627,-0.042173610731311456,0.0007278791871731699,0.01495696490792477,-0.0019128683719622053,0.012364054031508125,0.040698951365345196,0.004487695619463924,-0.0012733211408814625,-0.29028337176079333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,-0.08300988906508555,-0.04317287779210704,0.0008069840413720727,0.017787612016596222,0.0019377741120431698,0.009975535297037472,0.028611940361721367,0.015459642966642342,-0.004443272772528557,-0.2916154054552318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,-0.08414970557893746,-0.04220098508521916,0.002056843228638174,0.016102124678537905,-0.0033008483983576293,0.018535723405201807,0.03560871066282626,0.007753848290961725,-0.004181103452878153,-0.2927181931649862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,-0.09304060879689846,-0.052034104576577304,0.005680163984551376,0.01625684570602101,-0.0013509492900060573,0.02199386152965219,0.05003053379852486,0.003319915338702823,-0.009190314233950952,-0.2674140164426163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,-0.08393056892992364,-0.044395496013533806,-0.0022828863302002743,0.013477366548841413,0.0005623163290969711,0.01827765802731333,0.04782638786360622,0.0036418965215916253,-0.0033774243084632822,-0.282487334885999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,-0.09008526288134897,-0.032866870394867395,0.002155112605541944,0.013796964052092775,0.0002934757960231437,0.022094906176561905,0.04180244460297018,-0.001230405537492551,-0.008215542026673973,-0.2777458556781969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,-0.10005798894750034,-0.027345465774769363,0.000296726240574018,0.010285388534159761,0.015256405383672402,0.02136647683689776,0.05444885520345492,0.0013757946585183584,-0.02383845816082928,-0.13163638952066714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,-0.09087036712014157,-0.016342358753571044,-0.0034330702953688447,0.013916976216208668,0.023632425929055262,0.027925289770507292,0.06276102082803844,-0.0013856711287213435,-0.02929275874615363,-0.0914990868565181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,-0.08347875590800592,-0.02889802156259183,-0.0007958484951244703,0.013637677581737872,0.027410877791597784,0.020142853184724637,0.058966352018001274,-0.0016572430859441295,-0.022281014947625605,-0.10026616025797047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
