Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc+_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH4_2,-0.035049604125644854,0.007626579099375268,0.0013757968532002497,-0.013624364296379296,0.022527741776860278,-0.010390586930772534,-0.0007062258020691251,-0.09251778071665247,0.026842720809838044,-0.02994564168155193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.036106864398588304,0.00394605430571929,-0.0013538104716850382,-0.029894427061080944,0.01352175335845222,-0.005242558766318405,-0.006640259011284165,-0.07843942837546701,0.0190548898635999,-0.0027067060995361095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.022677106766597087,0.006651310311711352,0.00195452964824179,-0.021421435740978826,0.005926393740203071,-0.011805559892369356,-0.0004931279304234884,-0.08353558723693308,0.02690586306802605,-0.02536664389073849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.036244434059961986,0.00559963790618855,0.0016124799960981243,-0.02013534544440716,0.021820245806289756,-0.012389431702701945,-0.005092271336394808,-0.07205970289914501,0.018158620336781377,-0.025131163324998776,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.04081608830262785,-0.002026452234257824,-0.00831985236833925,-0.028952633654293812,0.016299153420588245,-0.016077084664417353,-0.015352691473520325,-0.06237984370926152,0.025865342008030937,0.007898786255846852,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.056931779896435525,0.0009632429091826732,-0.005114531011685084,-0.03982403356743895,0.019191234027561933,-0.011003258157035579,-0.011317469280051149,-0.07378214726305525,0.02887491603908331,0.025082461477621734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.05005792541348415,0.0008616075178851254,-0.004475272488982783,-0.03306909492482311,0.01495250520498856,-0.013801201611109403,-0.009889042322402414,-0.07131276604921921,0.022548261608766475,0.02038156375612902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.047279634158248485,0.001839671594941095,-0.0072241251980480915,-0.0318988573745541,0.0226866856476535,-0.018799115225024844,-0.008300046107691271,-0.08333151891827585,0.02837034596697144,0.020075228628904925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.058960649163826644,0.0013083363292009913,-0.012571379186018652,-0.03550495778088984,0.019383500208673264,-0.01614180627076522,-0.007929100598330081,-0.07299193475233474,0.027480613569850505,0.032066012825007026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.05941572000475033,0.0014884616304998788,-0.007241606414318085,-0.034495224476508476,0.01669159861686437,-0.021061417531708017,-0.009094897890868394,-0.06200717857998351,0.03236796738012977,0.01890665254839089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.05433836157879104,0.002685348326745238,-0.004655717640467313,-0.03999046026688555,0.019576290547847746,-0.02122012854270313,-0.008000947434617127,-0.06899456186139066,0.0312669379490873,0.019810235778922623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.05234338520013767,0.00263799880509791,-0.004371168189074684,-0.03354215888549452,0.019263751247654788,-0.016111839974056123,-0.008309276032706965,-0.0690794189663037,0.027222767812402345,0.010771364660366722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.044917049103457,0.0020826306356036117,-0.0034368246210658053,-0.037129639612267853,0.015529243239889978,-0.013836444768568741,-0.007168628668979459,-0.07047928411027661,0.018333777986142944,0.017160854300727016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.051682029146215176,0.00263799880509791,-0.00408033608418444,-0.019466144533261006,0.013431094509104027,-0.016946469810993778,-0.008307870231244874,-0.06912375747185687,0.02382986726968184,0.0058462813237439015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.0500697059330085,0.0020826306356036125,-0.003783265442951868,-0.03319284709575385,0.01369347330506729,-0.0219393072747018,-0.008496285617027593,-0.06016861314358918,0.03091689703257187,0.007095658811538117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.057856090464021855,0.002082630635603612,-0.005616858148056529,-0.03302451793914256,0.01945130024591218,-0.01545677928173024,-0.009522287871526636,-0.0661407189135966,0.03388886038051998,0.008333096633786742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.037523595726360444,0.010383715166345888,-0.0003852194418077891,-0.017183522999934527,0.016159648504918033,-0.010884941059934056,-0.00773229641434939,-0.049431609835313715,0.025239035182672998,-0.05250257132493933,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.03160811897367239,-0.00391729144298512,-0.0004109007379283085,-0.012347836841059768,0.015452257934147895,-0.015089973609732547,-0.004399623495081196,-0.06112459307779436,0.024017133204185442,-0.03443241691135843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.046959452382896255,0.012849456233822776,-0.0004109007379283087,-0.030463600864876872,0.02150076786785022,-0.01680000518327174,-0.005397221659836563,-0.043234718992658294,0.03414763274724069,-0.049093320907458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.024270312795820446,0.009075388043471003,-0.0007535708987194567,-0.015940618123049317,0.017661871558622172,-0.006645185492284921,-0.003443931610040043,-0.0704909798502922,0.025269383577548942,-0.054323409326050585,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.03767874814893888,0.010443093138544456,-0.0002287430219028321,-0.02469984027516583,0.020188043933847676,-0.01555505685184313,-0.0030751221076301912,-0.05184097873289947,0.023178540147517034,-0.04459254603023114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.04029257976814456,0.006756634017371613,-0.0005029962503391771,-0.018590845200030702,0.019850344662757025,-0.013799864136330461,-0.006286104967736678,-0.06442678030742251,0.024092475917676222,-0.030661642182132468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.04476967018259609,0.020830259102842082,-0.0007714435458183281,-0.036225086764796924,0.013377319122462168,-0.02149106998806415,-0.00946915495654811,-0.08779563174623511,0.03234966957212789,0.010103450113016627,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
