Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH8_1,0.04105726159137228,0.1151157949488286,-0.02789829744997879,-0.30035742511000973,0.04819204393895748,-0.052850727211360055,-0.050123975611818236,0.002989035017950377,0.047439967287380404,0.04579403430061496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.03911936153860195,0.11269793582675247,-0.028565519659415537,-0.30727142862368223,0.03609583070704146,-0.04898192271104326,-0.045657476800615375,-0.012476649852874487,0.06626369417361591,0.05813388705172616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.044757772755363724,0.09723180226171795,-0.023555939163121844,-0.3085816706409273,0.03162543176511383,-0.04448130873477329,-0.046928213328609004,0.000931745254151199,0.0704639718151125,0.047894119601291814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.04271120969044125,0.0795055336533519,-0.013211077893071842,-0.26510241426041586,0.031087155783063054,-0.05193718362032719,-0.045557966945773874,-0.004937838260894233,0.05355700264077472,0.04324328632134459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.04264771448205347,0.11144878518241255,-0.022797025984720037,-0.3195323960628846,0.043493118185711936,-0.045155876965626424,-0.03618827891698027,0.003797448535004391,0.07206758887264066,0.019576633396032057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.03944207988153009,-0.0048163534652279774,-0.012059019962730616,-0.04882688494520668,0.014435341219701197,-0.01928366048625954,-0.010682937816271314,-0.006065581240893707,0.023647121512938452,-0.027548244735630955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.03468719751290653,-0.0035688809483595523,-0.006004606152115307,-0.052890686727655296,0.011981012685548352,-0.013883335276547337,-0.012385910689911763,-0.009246389986947183,0.016564835588569228,-0.02652114102373953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.039299605228411756,-0.004479965632376463,-0.008683227969576483,-0.06993257939572567,0.016943155433172766,-0.015802751451163836,-0.013781688683868748,-0.005864001145262433,0.02012479822070378,-0.009866434204513613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.04845124453063244,-0.004877513702148977,-0.006022605249334289,-0.06003513270381673,0.015095440548561195,-0.01948685884030293,-0.009334026995398427,-0.009206737448339879,0.02661260706777481,-0.014936218067355778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.02592002913679766,-0.004556027419217255,-0.011394512466276471,-0.06764872387132569,0.016296535399539964,-0.012752904732428169,-0.018240210742730162,-0.009027959909695,0.019022892226019633,-0.01642135914820044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
