Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc+_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH6_2,-0.06041268403783601,-0.025920697024658962,0.026540411480135563,-0.0616020718299905,0.25450546615473596,0.026053415130337942,0.010288957459042253,0.08573299384351983,0.058930113205240796,0.10668155691302988,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.13697064035916295,0.00224153163377195,0.024740419781807327,-0.08817101944926319,0.287122125281426,0.006577791295257279,-0.020947637013362167,0.13488818689411425,0.07180975458969403,0.22100104331767756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.1394346506063543,0.025245095286720805,0.026341468447859832,-0.09007304032272458,0.2885344878478866,0.013734618516274444,-0.0218315370257377,0.129992889571611,0.06607216273393966,0.20259146095840672,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.153326516874418,0.009794210544382427,0.02741616503902428,-0.08689592872381856,0.2885109852444704,0.021519477492522282,-0.004933946943517935,0.1267567427409813,0.07176493164232887,0.20079625263121798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.15369162460323424,0.0062432638173113035,0.01729720755277769,-0.10268208270426839,0.24380691344809283,0.006601663733751555,-0.02440592548121577,0.11940671042478442,0.06887466379562798,0.1431588413645311,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.16460949326885627,0.00729888604609701,0.023219316713714414,-0.10314745078794656,0.23474090233809597,-0.0021722738647266555,-0.02796696062746418,0.1156504310430635,0.06403871856913294,0.15113737918983175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.15228911677253956,0.013810333028921613,0.021547226721785315,-0.11274167838627877,0.24053500768850022,0.0034927899435000533,-0.027199001190171605,0.10929722113959973,0.06157508374414529,0.1380861856917972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.18501075956423807,0.0023152604887423964,0.023682546679375936,-0.10484578761697301,0.21878353575285037,-0.0023567528231069447,-0.0264360758923399,0.11461037364828844,0.06186184126802759,0.11234625463657405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.1919274912231966,0.010010804872069026,0.017444331993186925,-0.10285469758709001,0.21228017537247232,0.00335353956112395,-0.028357366824563107,0.10274080001060729,0.06898055020922228,0.11150718765070093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.19134497954226712,0.004569466672027884,0.022791040045533176,-0.10127133205998687,0.21206015087299693,0.004156752126291392,-0.029475266780380323,0.11477226516879777,0.056114177236576426,0.10464083062808799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.02802436621090316,-0.017728485643620725,0.008565026986939105,-0.015727604451872733,-0.04671656442401202,-0.003119718710608456,0.0007413259338911457,0.023251348501476254,0.017092140955931468,-0.05573268219504667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.02278629524208119,-0.02201527231555108,0.0037160823528614383,-0.01589497037920291,-0.05303222732294511,-0.003327699983897415,0.0014495284982916465,0.03577834432296779,0.012194511865913544,-0.053481580812241074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.031809858841538106,-0.013450707277364056,0.0012973429428656468,-0.012352951803325634,-0.05500434276769342,-0.0031197187624385806,0.002095191288820428,0.03356625083489749,0.009268940694063255,-0.047889725391995965,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.037498191694688536,-0.015816996560998907,0.0011375295391063333,-0.018214660084037024,-0.0584451360737338,-0.003795056517195441,-0.0032367860681741766,0.04276004512956286,0.01980789730811249,-0.044098224041011665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.027836230038462768,-0.024949360207614044,0.002718843191295214,-0.012125705822330454,-0.049915865837069945,-0.0033310821332523345,0.002150967830549116,0.03775501674810505,0.014700838790639584,-0.05656700169343663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.0247607861596929,-0.022009403151662454,0.004194055301663669,-0.023098385901716735,-0.060576222809031605,-0.004120838106812341,-0.003280637142774853,0.045861751603205575,0.021990129195518147,-0.05159924221245328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.03363483036787289,-0.032306496003318745,-0.0024323094053112938,-0.016880526164263162,-0.08705036435438238,-0.007739778627924944,0.002935009631328285,0.04856828595025707,0.01447094763507662,-0.0033295175007989884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.04575911900372771,-0.01703527108259985,0.002192048612253174,-0.02440412218156068,-0.10464071253577817,-0.006700864895044465,-0.003423900414946611,0.04857747211100776,0.0214882829244775,0.012306606164202096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.033648606090320506,-0.014414767092296289,0.003677511890013904,-0.01884440822182628,-0.11567412496382451,-0.007794757323420565,-0.0014772890157916624,0.04054160913816936,0.017845410391607364,0.012389840260957893,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.03618847315928534,-0.023829079817818562,0.0017162973982403488,-0.030114648090270556,-0.14846955611815915,-0.008450874056991029,-0.011790476574602983,0.07626525014355455,0.019401687593401776,0.04406029365187429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.05420065423352239,-0.015603056570272085,0.005428414507364128,-0.03356805818924761,-0.13662854156274676,-0.008861686398234704,-0.007608674335414949,0.05201423260282078,0.024347284597385187,0.057281160485201876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
