Experiments,parc+_OD<--AC_OD,parc+_OD<--BA_OD,parc+_OD<--BC_OD,parc+_OD<--BL_OD,parc+_OD<--BT_OD,parc+_OD<--BV_OD,parc+_OD<--CC_OD,parc+_OD<--DF_OD,parc+_OD<--parc+_OD,parc+_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH5_1,0.016816150377626012,-0.07883562219693607,0.053431755092156974,0.004300298025102713,0.020058939222084432,0.008292944037719907,0.05482157302615436,0.046170908240196484,0.4868334818728594,-0.029667132872602205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,0.01774474012462989,-0.08568889598645595,0.04320511397136296,0.00981034859690977,0.03305296550626338,0.01269124830222649,0.060108802278080735,0.04563352082734523,0.46833139208185914,-0.05824848329729362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,0.023883842801594217,-0.07400394346888946,0.02860713578436685,-0.0241737276720612,-0.002928972850027293,0.017622829212442678,0.037586255810506945,0.0387485168242584,0.5747740363815554,0.10686685779010474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,0.029345219443025795,-0.08964236470182305,0.03327642548505378,-0.029255408311019793,-0.0021521315027190364,0.021110427075106176,0.04204338983673118,0.03803749372615763,0.5793276630520172,0.10574052902505449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,0.023307789750397215,-0.08317386565001111,0.03184949187804823,-0.027840609033794497,-0.0025585955608150236,0.01923165029805639,0.04723211911385475,0.034145337506804777,0.5751995881776446,0.11176340906030457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,0.027435608342613854,-0.07873348644084256,0.03032768816889629,-0.0372513307776788,-0.005190202674787972,0.02799504276527011,0.05008048559012621,0.020459875070854373,0.6167332635593155,0.1711349626517166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,0.027985484384648172,-0.07080132545984308,0.0319394350975104,-0.0381452710715973,-0.004810910639555559,0.02654690057039261,0.04262091225903967,0.019473733961906124,0.6158444036284219,0.1611338851147372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,0.02831190969633019,-0.07585262766188902,0.03231136315542717,-0.03886674714315197,-0.006030511493268224,0.030620470518327277,0.04361333605225967,0.018253102441844735,0.6130930824723579,0.16601206420070458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,0.033455755636096,-0.07122406947547978,0.029311603882714452,-0.040027915257150715,-0.006512532457709314,0.03344459719955921,0.04357029384245044,0.010180310674983525,0.6314042929284597,0.18276514005563835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
parc+_pH8_1,0.03222031720144592,-0.06973419676170402,0.0306903567958785,-0.03599041305806327,-0.007931877445915465,0.033617189925002025,0.0468994143443263,0.008297286420736629,0.6215153037643304,0.18769104011842738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8378107178569503
parc+_pH8_2,0.027286778260832235,-0.07029584258794781,0.03272487217317455,-0.04305718994658923,-0.007109124430495764,0.036055501435437905,0.04755414443819421,0.008873261483791075,0.625948256579754,0.18853875186294317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8442380625189879
