Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--wt_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BT_pH5_0,-0.011135085934833823,-0.009193878057615264,0.009034915471186294,-0.003327799110025492,-0.006241492567705397,-0.0003634719039394479,-0.03472262572163069,0.012135568480311044,0.007081741366697395,-0.025232496860376354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.015417968732527576,-0.004050510110961193,0.006752670006219136,-0.0052785955683793875,-0.006225266286536406,0.002217088880614663,-0.0395034293393078,0.011248921717253878,0.005892032986182882,-0.017599569866838666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.008831614001512366,-0.00620027787477264,0.009499765192968366,-0.004663235860998216,-0.005467626467428132,0.00044137822413493145,-0.034161306557589734,0.010827472953976172,0.0034707064038830933,-0.026879888259724757,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.012831593742543508,-0.006862585670517189,0.010667383030725074,-0.014017400789459275,-0.01172852184724711,0.0009833496524547425,-0.06278745480671363,0.01331055945969875,0.006967460193732024,0.014334178241627773,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.012175938532201818,-0.008049955270404969,0.015257682623949064,-0.009453551230911652,-0.011238422772604163,0.0055298839375862606,-0.09373890629473507,0.012874171019066127,0.0062187721598488494,0.03281163780560272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.014438228324035424,-0.0008187227824237182,0.01333848506946157,-0.0156011922114387,-0.01153293535396781,0.002490235903330714,-0.08242141345708187,0.015031091842557427,0.005208962204987588,0.026779090514932966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.034879985222613194,0.0018074025321022976,0.0112233366860259,-0.020748190740224624,-0.013739576187673153,0.003270241434270842,-0.08196669923151723,0.03002338935600837,0.00789789231757269,0.03514756365081943,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.02853346211238481,0.005362109270999615,0.013012361052577666,-0.012913487495490069,-0.013699124070167868,-0.0007307936031492829,-0.08550869437425557,0.01893939476966372,0.011107335680407351,0.030999735614244378,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.041105116547753486,0.007878722932756597,0.012967571533163604,-0.011352123757925534,-0.01231191234379683,-0.0020206074372602057,-0.07695097162054201,0.020904454122317714,0.008174967923019406,0.03185038868373301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.028668939360751485,0.0055736289258398455,0.01106643331556014,-0.019263303797469357,-0.014132397379523714,-0.002950038274891834,-0.05957012518582379,0.02652544561768477,0.009415818538678728,0.010038851016737604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.03170808626450194,0.007366138058714568,0.008208674244157485,-0.01220914869042842,-0.014991515451718285,0.0008683829506575732,-0.047811515227608084,0.020386771232537605,0.0058211042158022195,0.002104568275542041,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.019737044272478674,0.001947338800857088,0.006973430491659953,-0.005716754594797511,-0.01381001836964456,-0.0004886030122313806,-0.05198057498236226,0.014851520464188705,0.006015543068414959,-1.9464226156150555e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.023184894132731556,0.005941296132615486,0.009820364778962634,-0.011793020822047053,-0.00999933732228111,0.0002051165856866413,-0.04774498622980901,0.017321702752454694,0.0064034246127931,-0.008934292788971619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.01905464661550587,0.0015941969760815092,0.006497657006333137,-0.00807247346560673,-0.009722537738675983,-0.0019237509613310021,-0.044782739641124614,0.016210633910402818,0.007263052692312909,-0.00997401812852806,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.01876201457212396,0.004382798769308819,0.008775117462905853,-0.010386322627815862,-0.009739371826062384,-0.0002682771298872381,-0.0507229672279209,0.015245890054021678,0.005087714069016764,-0.005577193550542807,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.013658322566796255,0.0021132459592722043,0.006072537073835164,-0.0022287235963765685,0.00875890424049905,0.0001284393518353291,-0.04160930190539069,0.013323619745104858,0.005247383464694672,-0.04011240835549593,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.016694149634213715,-0.0010398301554074417,0.004300874870918367,-0.0052027771077321275,0.011800932284221861,0.00016513628358750303,-0.04133823693071937,0.016011977557943244,0.0060251898363070655,-0.035993743294080636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.008812475609289402,-0.005368827095700671,0.007826122942117406,-0.0037161231690855776,0.008995263439846104,0.00015596205712822483,-0.043081769087837764,0.011554648315372026,0.0046047229018143345,-0.03412215108841496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.013650146727045275,-0.01446599115982004,0.011143323328022075,-0.004825012871448922,0.010264797170504767,5.549800157061091e-05,-0.042901887263009406,0.019876220956768678,0.0029970581657455665,-0.030458486034615852,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.011242927727491957,-0.007826595596928635,0.009746459312635757,-0.005876485713069207,0.0068517535615145505,0.00010208322018708908,-0.043358000665396926,0.014132148163271666,0.00697813371338112,-0.03147119486259053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.008250273927924746,-0.019416782964506874,0.011224201012038342,-0.004044882978778333,0.011559341071659457,-0.0003788371365922292,-0.037762406015890135,0.012096341165875935,0.005419810985964116,-0.032411137727777595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
