Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH6_2,-0.040316060016984526,0.01893688667241646,-0.006725486303153246,-0.028970196211467618,0.014425235575307971,-0.01650037597702897,-0.013559143624227981,-0.07632777916510466,-0.026413581517079596,0.046993923870765654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.029996460909428806,0.016239163153197452,-0.005918221690732499,-0.028079341060441475,0.026135000343555984,-0.021106198347457077,-0.010601509368937948,-0.07673761689144631,-0.03280118166104608,0.03440978013141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.033132642348823335,0.01724570431139158,-0.0019856593142385066,-0.023906070700158242,0.008928351115597328,-0.01173623659202586,-0.009205829896356748,-0.05247969260682232,-0.03723654233567093,0.0150520417029443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.04903035332327304,0.022688114490845932,-0.005199738859158498,-0.02622828892391662,0.013437528589173502,-0.014113862621395482,-0.012707849326341048,-0.05327745662111304,-0.024109704967426215,0.02008503513491672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,-0.0478716731848924,0.02647072783630827,-0.005495835542678832,-0.030449687407716454,0.016341731843093166,-0.011477664986058424,-0.009059616288413171,-0.051200899267974116,-0.024478247308212776,0.008764576819603855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
wt_pH8_1,-0.034983164768504056,0.021987990082606025,-0.0012333310265903886,-0.02308858739941016,0.013265504263665363,-0.01621766237784987,-0.006997466476067252,-0.05168800403566465,-0.028091396031820263,-0.0014104685316915092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.021713026664827176,0.02125155896920225,-0.0043910181408991,-0.02874327284810336,0.01602294506424147,-0.00632542326722456,-0.01262514994520208,-0.03883270163574944,-0.0628687969757163,0.009768297753256302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.04096864380104387,0.017214465811848642,-0.0028041722366343373,-0.025097322050967943,0.013565340942662695,-0.007518054603234581,-0.010664751824477445,-0.042322969436645506,-0.02891542540620203,-0.0009450536966323864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.030033696446081868,0.018086850714424386,-0.0065639219303493925,-0.018240586021996064,0.018423098594598147,-0.015440795999830182,-0.008135016899070015,-0.05069605727882489,-0.023530056123500283,-0.012326404910696587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.031238670776719636,0.02454267412100149,-0.007380411556881406,-0.029535224696864256,0.019324118337877418,-0.01437133313845033,-0.009266139677037363,-0.04017515285345523,-0.042024634043159696,0.0016681977685378926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.006260498486783192,0.011179217673514201,-0.0029061951034742863,-0.025042626375089524,0.011636870862997096,-0.01873531297497127,-0.009334352204333181,-0.07445669633862764,0.028715229692018552,-0.0557732139495404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.009280037876704467,0.015305096558902576,-0.0018028189760187397,-0.02823008838717057,0.018940691214216793,-0.01946908107432334,-0.004469174264889697,-0.08519610855404451,0.029390016343930486,-0.062205155924286534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
