Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--wt_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH7_1,-0.3192263368630539,0.2913514306380049,0.02199774369354482,-0.0704262978332522,0.09425575770761657,-0.043179294667814096,-0.05861878677230818,0.1165619479710965,0.09984573373652023,0.16186176727242443,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.3324180423387367,0.29695308248067026,0.012281965176048485,-0.06412261763830546,0.10046191018479676,-0.04029486909346735,-0.056591889201460986,0.1099191468241422,0.10142086783828944,0.16744526453235228,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.3388996856635355,0.260935723958132,0.015422321898133856,-0.06286166838005836,0.09698200784218698,-0.050207543239483364,-0.06617094686335843,0.10609702754846735,0.0899683713240792,0.11469472887156451,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.3423698582848453,0.25286505353758515,0.014787294976413241,-0.0591360884030228,0.09315975640697971,-0.049917010991307686,-0.05492501817319706,0.09400271694135408,0.09600885243924416,0.10675907293658543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.34269822743599815,0.2556765982468167,0.008470795492277203,-0.05469847618723693,0.09295539394021034,-0.05267027392740482,-0.05994782133918743,0.09927214181698533,0.0892930702273936,0.11425614206606281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.3436674430480469,0.24398029195225748,0.011064956483795591,-0.04860198350380296,0.0757003174811278,-0.04519107101323165,-0.05342817677265923,0.09551372547917394,0.08688522684185401,0.07859100839690024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.3494258162120115,0.23493116800794783,0.0053166623032935316,-0.045770810404387505,0.08869396441170703,-0.05055001840805229,-0.047696321243015316,0.08624942059993095,0.0869005812242951,0.0842789788544178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.36031927121236274,0.24052879170069236,0.006259554878039206,-0.06547565749805907,0.08688974073885575,-0.04504527428470873,-0.049913752169712736,0.10260492346775922,0.09134876214615675,0.08042103302300624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,-0.07872101691025106,-0.10573952477101396,-0.0032468338731838323,-0.014538242707595881,0.027191492317487364,-0.00474994418737681,-0.00047393283118372313,0.030249215950784485,0.04219829631807363,-0.04403621442049094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,-0.05963229939908437,-0.07981120604778762,-0.0038029201652692753,-0.013905485812574626,0.02713176293136633,-0.012353491353114013,-0.002260390967130664,0.02097227564486473,0.03765270263280558,-0.0658576559542638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.03664030841268274,-0.08589626915509935,-0.00312252730779026,-0.015451979417677808,0.023078679196212603,-0.014817399935715871,-0.0011577654532764282,0.02590554114998036,0.033236245333176595,-0.07700092439742191,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.05853881326382574,-0.08911823247923797,-0.0029742113614211916,-0.01750724018267963,0.02074925128451508,-0.01005742371811167,-0.00494714398018044,0.02625685132796998,0.02795788394611167,-0.04368763058567825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.032947259440856136,-0.09648274768548815,-0.0029582616144224363,-0.01522575984425519,0.025323465366888308,-0.010971064619396042,0.002123319108201109,0.024910702878690284,0.028095724412604516,-0.07373482417720166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.04231041347526986,-0.0964384680516694,-0.003232243534015573,-0.009140922616681323,0.026815250724878,-0.013992165866429391,-0.003926550004955222,0.03333501731976867,0.02983400065937768,-0.0728102101555661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.07400860435612823,-0.14146045324190162,-0.005503609925508499,-0.024846328117925195,0.03305842045532621,-0.01513209157420889,-0.005508037343945196,0.030378073019825893,0.04721401673134255,0.003941909205168485,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.07854911940496255,-0.1542521819569494,-0.005699485326590746,-0.02229097892651739,0.02699125961117123,-0.013537338093409073,-0.0005067490575754126,0.03715357541228118,0.03984126649877946,0.018983047835366883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.08929463987279194,-0.14326258513347617,-0.005321487259605656,-0.023935811953700106,0.032704245210827695,-0.007214744768874799,-0.004302125693825278,0.03322348770321063,0.04427909181412794,0.011257865735856088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.09715293787986687,-0.14866602172589177,-0.005316409047531048,-0.02499699124337538,0.03977010510133012,-0.019642564493190982,-0.01622096991166472,0.04483924708774557,0.030629659116106184,0.04489017453854499,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.12271037208726224,-0.1671462870121974,-0.004770495522281397,-0.02983809448454692,0.032650182111107776,-0.016856615621110665,-0.012551339031399595,0.051606989222700184,0.0556318668567616,0.06211745715740582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.09174547666683792,-0.17461813944270432,-0.005038282035485559,-0.0235882191044157,0.045166468489105285,-0.022797618181161255,-0.008264118194904017,0.03519050954476648,0.04821631013213293,0.04561186019007279,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.13309461698826885,-0.16842547078576428,-0.004161427869744925,-0.02126143256688248,0.042535540051758296,-0.029895114672734684,-0.019744374012655535,0.0545784776908872,0.04641267443237747,0.08118904086477731,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.11431225389890048,-0.18009204906289997,-0.0037271725548350294,-0.021356828535866478,0.05378863016872302,-0.023225310665109886,-0.011187147728126982,0.030853214595952756,0.05118385385640936,0.06620835955052273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.12175296468660232,-0.17056121674487773,-0.003507135503965878,-0.02604652558412889,0.05373606820874241,-0.023643088066221573,-0.013800904843956229,0.04433118642672249,0.05301016537796543,0.056367712253299736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.13285732449882706,-0.15769954802387437,-0.0038017730155716777,-0.02566759782235908,0.042304289950786736,-0.022675773187176042,-0.012963612554999799,0.05005244402376855,0.050600488615100796,0.060841700365847885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
