Experiments,wt_OD<--AC_OD,wt_OD<--BA_OD,wt_OD<--BC_OD,wt_OD<--BL_OD,wt_OD<--BT_OD,wt_OD<--BV_OD,wt_OD<--CC_OD,wt_OD<--DF_OD,wt_OD<--wt_OD,wt_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH6_0,0.009328821544413978,-0.09380595855374377,0.008475674508625405,-0.004476497129982581,-0.004278915435804636,0.0007213524866687273,0.03784228658425095,0.048097893992519895,0.4436414514660187,0.027167050828347385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,0.0027545055439290784,-0.08471143606807228,0.005537178428519681,-0.0008400394718932079,-0.000725883514336913,0.003695658791972239,0.031019310181879485,0.04657527111308729,0.4414261724071011,0.034735569527534677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,0.0075163681367817195,-0.08535804276881011,0.011209161884920747,-0.0025369835928406425,-0.003432042627878811,0.0010173679418537906,0.0369613301883573,0.04233496483901274,0.446665454759546,0.035636663286258335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,0.016461870791795463,-0.09247266510744456,0.02107827158077903,-0.017030309040261357,0.0018486028294200435,0.02159983298052911,0.038270471000477035,0.034515091924239766,0.5636312798200095,0.20572998879558368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,0.020670689617729065,-0.09295102466626658,0.017227244743186494,-0.013577059624392694,0.0005004552557416554,0.021074895146100413,0.037419862530153745,0.03485981856553775,0.5485375941431394,0.19217740271847863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,0.02213231912611619,-0.08593144023628985,0.013895684477022817,-0.014918447303707184,-0.0005350732787147877,0.02067927484765002,0.03695176057719991,0.033984653930706175,0.5513752977404258,0.18734567727448176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,0.020825808676688568,-0.08922377162653468,0.020207280006421656,-0.026535849888687537,-0.008592385450459053,0.020908658899285865,0.031229284529209787,0.026856165680548428,0.5951771714295383,0.24966425243441176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
wt_pH8_1,0.017338961438964243,-0.09431852832477058,0.02307987533469239,-0.030268100189126068,-0.006309355790524375,0.027129874650550924,0.03675329712583966,0.02479429139917636,0.5954162846003538,0.2447521610707854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,0.016003924057130577,-0.09149919603019954,0.015928157212050723,-0.024085264159366487,-0.008206265291765977,0.02367502580842246,0.03462760897920182,0.027601141838923763,0.5939242518174909,0.2521865031483542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,0.02257177279330791,-0.09590778579449527,0.022010329573050786,-0.02651724353351672,-0.009723646687748631,0.029920975459010696,0.03632039345476939,0.020064188646476563,0.6172473062817818,0.2709539385229026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
