Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--wt_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH8_0,-0.03205690834954704,0.043420695117472305,-0.005604938034211162,-0.06206990820558176,0.015087890941649673,-0.012103265632429848,-0.018625834252604324,-0.004340305016173619,-0.04078379813581706,-0.014083545416107643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
wt_pH8_1,-0.027365693405027616,0.05714242876912263,-0.005952087208304713,-0.06989239194551888,0.017868894863792735,-0.021604592769771166,-0.020057147161468215,-0.005837674915142683,-0.04516042198094985,-0.010301230766850966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.0453046546228554,0.06039607252480219,-0.00946349641956065,-0.057269874994197605,0.020174595276298727,-0.031561874584902234,-0.015310853472303437,0.0009589501498671978,-0.04954588117239915,-0.004232899655142556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.028637407320835022,0.053740335050970305,-0.0029517007319499623,-0.04204237277255111,0.017213150507001125,-0.019831048012913566,-0.013492120486562668,-0.007807749337314265,-0.06305063293517932,-0.024300370480784258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.04732155188108268,0.051140236020412136,-0.007877876697837011,-0.05399710627758632,0.0242283584954946,-0.01849423379758778,-0.019912914541428507,0.003465832358874056,-0.03948832950271343,-0.02290233069666378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.028144347351854265,0.04455709167796633,-0.0033148908663703067,-0.05747428969723052,0.010593559784085856,-0.018703013912815116,-0.01449810804191815,-0.0076641764597076435,-0.03449474573864237,-0.02201698091852924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.013063248444510548,0.05377357400913277,-0.010127170595299937,-0.10911526930477954,0.02612095061973061,-0.023039102074892622,-0.022224282137239752,-0.009520811006912721,0.027814494865420068,-0.07790553694914865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.014307060436062188,0.039054113958516844,-0.009509197582045327,-0.123244632638019,0.019601067513956322,-0.024244929103423723,-0.014970840915389689,-0.001835901940484411,0.019968126042057638,-0.05028478118671995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.017908526150428733,0.049875325493352565,-0.012096510756274924,-0.11339095932876929,0.020980251171099754,-0.02149311404189338,-0.02067810747448517,-0.009283457748672884,0.02352527933681141,-0.06650714809398936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.018726701415751286,0.05231211308632856,-0.010760321316673701,-0.12101402775424978,0.025927249501742747,-0.03086797582633469,-0.01794862727270178,-0.006363758236655725,0.02190467583906391,-0.06307594616694942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
