Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--wt_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH6_0,0.18293931461060825,-0.051467754197833324,0.03076943687446739,-0.016014608816932077,0.018169926110169165,0.031212532429591457,0.03339020379373561,0.03506868991029002,0.024421667843733133,-0.1643883859107028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.22039946673195002,-0.045737022721896996,0.03390407452926687,-0.018019306018300686,0.02719380467482235,0.03536217329294786,0.0413003920779928,0.051365134392095634,0.03015976914083179,-0.09441033046044732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.2155675573323084,-0.055175634245185755,0.03700260723576597,-0.018912677594824977,0.02937263642154309,0.030291544015964737,0.03739736018621403,0.05318956373016471,0.02739879657554885,-0.11295354147968081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.3730457882518355,-0.05761825006131244,0.04565292122895304,-0.05184027284545744,0.0401161835277858,0.04150611898173456,0.08102104808811263,0.08166073401822993,0.03862477042104886,0.11652299848101712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.3733181598199451,-0.06631064110638006,0.045952289455934714,-0.052233416162755175,0.037363595428026246,0.03910909377848325,0.08351403700916665,0.0888629828247687,0.04459996945832084,0.11719651034992677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.3755083161624877,-0.06258011139605357,0.04561163907627696,-0.0442468567856628,0.04573348989143319,0.038244163154259984,0.0748179688045512,0.06512851572231103,0.04549583347919193,0.12714880921594474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.4285781288017397,-0.07365654093415838,0.04735027159361737,-0.04015681761438433,0.050186447174004896,0.03970571461255137,0.055086116105641986,0.06975403109646361,0.04780104203068691,0.22455551537806578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.44137876888332167,-0.07118839024687591,0.052587370213283156,-0.04874835752922555,0.04642103290914194,0.030181902128717172,0.05855173218023518,0.08475816591116396,0.05231783655836532,0.2320766901662169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.4433556508305281,-0.0617902769310319,0.050939260900992434,-0.05694399557521813,0.04753541874496833,0.03492100475598936,0.05370479564789843,0.08639580438318462,0.05735937144607307,0.225480890693548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.4821000580684,-0.06693133973395048,0.05784454354449457,-0.06576190534817139,0.05355949631365746,0.04547126629106374,0.04271479818322089,0.0920285213690089,0.05440964343107265,0.2825859074683293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.47802951758646456,-0.06877790492351936,0.050760824733778166,-0.06416304151487093,0.04827786436061496,0.04779738441757534,0.04766108161243408,0.08554926064027395,0.06469343981179207,0.30182879529731427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.47799553482428836,-0.07485139173010123,0.0560465603451366,-0.0609131628598856,0.05306620528192624,0.039402426181604035,0.0477187598059359,0.09619994346052409,0.06057421295377223,0.3024755142904494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.06378056786468494,0.00607952756078347,0.007281564820719803,-0.008835736885666846,-0.0012607365150166597,0.008023454163061538,0.012043670125953532,0.013924334828296431,0.0019581113658521487,-0.034233159615617736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
