Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
5comm11delarcaTc_3,24,5.2239183,0.0628947914054054,0.0314473957027027,0.0628947914054054,0.1257895828108110,0.0,0.0,0.0,0.1257895828108110,0.0,0.7547374968648650,0.0,0.0
5comm11delarcaTc_4,0,5.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0
5comm11delarcaTc_4,3,5.372080981,0.0076223981751361,0.0027493315232132,0.0157057621146434,0.0114089026681844,0.0102070990682169,0.0023212918848686,0.0181422954406049,0.0216160017364013,0.0,0.1127061293887310,0.0,0.0
5comm11delarcaTc_4,6,5.376315266,0.0,0.0,0.414602318,0.0,0.0,0.0,0.0,0.0,0.0,0.414602318,0.0,0.0
5comm11delarcaTc_4,9,5.316514649,0.0171861332044673,0.0033122365812246,0.0353096918564511,0.0488086183006872,0.0281852584553264,0.002937266402218,0.0215607852928772,0.0567454870896594,0.0,0.9862340658170880,0.0,0.0
5comm11delarcaTc_4,12,5.341828383,0.0076331379707019,0.0030235156896936,0.0159106317441255,0.0383639531774241,0.0143740909837894,0.0026269890418649,0.0083766254353807,0.0318708293192296,0.0,0.5443815216377900,0.0,0.0
5comm11delarcaTc_4,24,5.213730251,0.0,0.0,0.0,0.1378724525,0.2068086787500000,0.0,0.1378724525,0.0,0.0,0.6204260362500000,0.0,0.0
6comm11delarcaTc_1,0,5.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0
6comm11delarcaTc_1,3,6.473721011,0.0157807360564167,0.0103053325728081,0.0420226088498094,0.0205438919324015,0.0397078041250317,0.0129317456259212,0.0152465503506988,0.0200319639644218,0.0,0.1737661585224900,0.0,0.0
6comm11delarcaTc_1,6,5.96451817,0.1354381384663800,0.0872089476954252,0.1616008227750080,0.0338265009242861,0.1619972270827140,0.0067388732310101,0.1257923003121890,0.1201105052350630,0.0,1.3191014012779200,0.0,0.0
6comm11delarcaTc_1,9,5.712874439,0.341982951620423,0.1768877335967710,0.3561821030247900,0.0717177477712076,0.3749538625085290,0.0098672069081191,0.3159912846429380,0.2964975344098250,0.0,2.288710675517400,0.0,0.0
6comm11delarcaTc_1,12,5.357810713,0.1824372945021020,0.1383546427970960,0.3725079486068020,0.0461818255957202,0.3267077909912110,0.0429376477646159,0.2761367836239970,0.3975072013053110,0.0,1.7131167288131400,0.0,0.0
6comm11delarcaTc_1,24,5.39166092,0.3174454765849360,0.1627434590453530,0.5609862764739830,0.0403986704218465,0.3695233834794490,0.0752449169468515,0.442662208603361,0.7258358273422760,0.0,1.0877006951019400,0.0,0.0
