Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
AC_pH6_2,12,5.621274,1.14686,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_2,24,5.173491,4.014821,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,0,6.49630633,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,3,6.841175,0.03602,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,6,6.881585,0.135228,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,9,6.789866,0.975631,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,12,6.46721,3.927537,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_0,24,5.580318,5.147123,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,0,6.51540107,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,3,6.861863,0.040313,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,6,6.884398,0.210588,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,9,6.677072,1.613327,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,12,6.056493,4.621514,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_1,24,5.604272,5.077965,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,0,6.51176253,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,3,6.83648,0.049852,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,6,6.80749,0.276885,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,9,6.593361,2.007296,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,12,5.938239,4.819452,0,0,0,0,0,0,0,0,0,0,0
AC_pH7_2,24,5.598888,5.06604,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,0,6.93393392,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,3,7.360586,0.028866,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,6,7.416589,0.287378,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,9,7.214593,1.62859,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,12,6.667128,5.000697,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_0,24,6.739402,5.109443,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,0,7.0138616,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,3,7.357793,0.044128,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,6,7.406212,0.318857,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,9,7.134579,2.362631,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,12,6.715709,4.980665,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_1,24,6.753742,5.095135,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,0,7.02105395,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,3,7.287647,0.076085,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,6,7.41547,0.408049,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,9,7.012657,2.70175,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,12,6.696612,4.892427,0,0,0,0,0,0,0,0,0,0,0
AC_pH8_2,24,6.767034,5.05507,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,0,7.28735678,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,3,7.636131,0.031251,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,6,7.661394,0.321719,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,9,7.397613,2.550553,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,12,7.048261,4.945846,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_0,24,7.251233,4.992588,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,0,7.32476894,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,3,7.62728,0.037928,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,6,7.65121,0.390401,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,9,7.349489,2.91829,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,12,7.076851,4.922952,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_1,24,7.245769,5.018821,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,0,7.34435933,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,3,7.583511,0.046036,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,6,7.604837,0.449068,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,9,7.339334,3.110981,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,12,7.093441,5.010713,0,0,0,0,0,0,0,0,0,0,0
AC_pH9_2,24,7.222613,4.9468,0,0,0,0,0,0,0,0,0,0,0
BA_pH4_0,0,5.003232328638030,0,0.01,0,0,0,0,0,0,0,0,0,0
